Options:
Model:                           Independent Contrasts
Tree File Name:                  marsupial_tree.tree
Data File Name:                  marsupials_variabledeltarate.txt
Log File Name:                   marsupials_variabledeltarate.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            128529448
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   20000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   marsupials_variabledeltarate.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  True
RJ Local OU:                     False
Using VarRates:                  True
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
        Delta - uniform 0.00 3.00 
Tree Information
     Trees:                      1
     Taxa:                       246
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	No RJ Local Branch	No RJ Local Node	No RJ Local Delta	
5260000	-69.863229	1	-0.711560861539	1.889263404842	23	12	13	
5280000	-57.613567	1	1.963628097454	1.670825756736	27	5	15	
5300000	-64.427012	1	2.114600943221	1.709959825719	14	8	14	
5320000	-61.501334	1	0.851234615951	2.025381633751	23	8	10	
5340000	-63.353312	1	1.867898747275	1.736398756543	22	7	8	
5360000	-53.814968	1	1.968103076249	0.938057958438	22	8	11	
5380000	-57.710605	1	2.693874161344	1.696648333866	24	8	14	
5400000	-49.946473	1	1.218480410809	1.601882432393	19	11	9	
5420000	-47.482616	1	2.249625091039	1.154116999441	25	15	15	
5440000	-52.640315	1	1.352144031104	1.122198059754	25	13	9	
5460000	-64.324577	1	2.464921932477	1.961766054709	21	5	14	
5480000	-70.578685	1	1.896943219074	1.932721093128	17	10	13	
5500000	-64.090779	1	2.092258853058	1.634533778287	20	10	17	
5520000	-56.934819	1	3.188430211502	1.095523273876	25	13	11	
5540000	-67.914217	1	0.948362865838	1.493506933465	16	8	15	
5560000	-51.858704	1	3.873585044799	2.770412880578	21	8	16	
5580000	-55.848193	1	3.372241764014	2.584726636299	13	6	13	
5600000	-68.953667	1	0.427407459965	1.400078329625	17	9	11	
5620000	-54.068595	1	4.325410971324	1.260338356130	24	7	15	
5640000	-63.922055	1	1.887684821636	1.631543425998	24	11	10	
5660000	-49.187228	1	-0.257300349537	1.546006391162	22	9	12	
5680000	-52.247528	1	3.237046089466	1.075705544119	24	10	20	
5700000	-59.286719	1	1.854141136144	2.063852643146	16	7	14	
5720000	-50.415310	1	1.534904768802	1.440648201015	22	14	13	
5740000	-54.225883	1	0.936716309192	1.149017855308	25	8	17	
5760000	-59.766133	1	1.487496321272	0.767427609021	20	14	13	
5780000	-61.606413	1	2.205504867179	1.257389974147	23	9	17	
5800000	-74.927785	1	3.176584024110	1.485436688271	19	8	15	
5820000	-60.008258	1	3.830257661850	1.113824314780	20	9	14	
5840000	-67.863567	1	0.685789682805	1.325699385241	20	8	13	
5860000	-65.600125	1	-0.733735404636	1.341008033443	21	11	10	
5880000	-55.025623	1	1.540991338303	2.404671041137	17	13	12	
5900000	-49.791907	1	2.670267343044	2.252705582996	22	11	13	
5920000	-67.463196	1	1.846444807847	1.556570872417	15	7	9	
5940000	-66.336964	1	2.839675950122	0.897751813981	21	9	11	
5960000	-57.125973	1	2.665854927113	1.057840740379	22	7	15	
5980000	-59.813240	1	1.182903790344	1.991307865401	18	8	14	
6000000	-61.830390	1	2.150412198164	1.513616231086	15	13	15	
6020000	-54.661301	1	3.022648266354	0.982915063928	25	9	17	
6040000	-56.723729	1	2.215260772740	2.432759959383	22	6	9	
6060000	-50.021656	1	0.860831620780	1.549360202614	22	7	14	
6080000	-57.151151	1	2.968788976408	2.234768758366	23	10	14	
6100000	-55.029322	1	1.630559565116	2.239766461402	13	7	13	
6120000	-49.279201	1	1.922643253973	1.320820485868	20	5	12	
6140000	-53.806731	1	2.781123647685	1.241815108201	28	7	12	
6160000	-60.133228	1	2.032778540858	1.156954000815	18	10	12	
6180000	-50.108779	1	2.166161585221	1.704550925310	23	9	15	
6200000	-53.063440	1	3.449124613040	1.393290791858	23	8	13	
6220000	-48.589669	1	1.862236783909	1.850057164756	19	15	14	
6240000	-46.624076	1	0.977547343254	1.263335253669	26	8	12	
6260000	-42.157453	1	3.472541819087	2.914012104859	27	5	11	
6280000	-66.550616	1	1.779699532675	3.501713930808	23	5	10	
6300000	-52.069303	1	2.605829797717	2.173649254209	21	11	14	
6320000	-49.963330	1	1.122251916480	1.326604260674	17	12	16	
6340000	-63.955416	1	0.321138390831	1.518438530150	21	11	13	
6360000	-53.924624	1	1.934946762787	2.182537048167	21	5	13	
6380000	-51.555762	1	2.273425702801	1.625567519502	13	11	14	
6400000	-49.635755	1	3.538432382379	1.742988866019	28	10	17	
6420000	-53.398374	1	2.243199872919	1.924172100769	10	7	11	
6440000	-59.495525	1	3.052091091443	1.174743810881	20	5	13	
6460000	-69.573804	1	1.854624611767	1.519082849292	22	8	11	
6480000	-51.884526	1	1.709303461831	1.414995248625	23	14	17	
6500000	-47.540590	1	1.738534503340	1.552994890394	25	8	13	
6520000	-59.480405	1	-0.631412081229	1.219872138312	20	10	15	
6540000	-49.572184	1	1.715381969493	0.756618349710	30	13	12	
6560000	-60.016014	1	0.434897013935	0.750827356069	21	7	12	
6580000	-49.143225	1	1.724568540452	1.012696153200	22	10	13	
6600000	-59.982176	1	3.657970720324	1.161212527907	18	9	13	
6620000	-49.555755	1	1.784527975822	0.778327762952	18	9	13	
6640000	-56.290134	1	2.542111702246	0.891760837690	18	11	13	
6660000	-56.603273	1	-0.387857743841	0.902403429117	16	10	17	
6680000	-51.814907	1	1.372595891141	0.755209954912	15	9	15	
6700000	-52.820981	1	2.956199094595	2.156406344938	18	7	12	
6720000	-64.095043	1	0.773534152041	1.583127667242	22	9	10	
6740000	-62.638946	1	2.038127786635	1.680870518371	19	7	9	
6760000	-65.769263	1	1.701106753571	2.003612518118	27	4	6	
6780000	-58.651685	1	1.280182797195	2.208581790067	15	7	9	
6800000	-66.128205	1	2.070702223843	1.500294749919	21	10	16	
6820000	-64.236676	1	0.790439825388	1.737330593420	22	5	14	
6840000	-57.070095	1	0.473284442418	1.972186203424	26	6	13	
6860000	-51.673600	1	1.483356595465	1.490941582147	17	9	12	
6880000	-45.478927	1	-0.842796690653	1.626408988482	28	8	9	
6900000	-52.774529	1	0.673582653466	0.960197203246	22	10	12	
6920000	-64.515265	1	3.746467084698	3.073707402657	20	6	12	
6940000	-52.508603	1	3.130970375032	1.529698264107	30	7	12	
6960000	-62.631172	1	3.225166794489	2.305629414372	16	11	13	
6980000	-68.305058	1	4.451642434726	1.686155267449	20	6	13	
7000000	-58.382272	1	3.317871649648	1.549963373661	18	10	12	
7020000	-49.037966	1	1.677812731116	1.119378063898	18	12	15	
7040000	-49.550983	1	2.231839628138	1.052176480633	23	10	13	
7060000	-53.206615	1	1.539971368552	1.933333109220	23	8	12	
7080000	-55.414176	1	1.005588070274	1.333294276417	18	10	15	
7100000	-56.663284	1	4.337899080514	1.628387371941	19	8	12	
7120000	-63.029787	1	1.150479768829	0.826809796911	24	13	12	
7140000	-62.196559	1	2.070012837840	1.431961627411	20	6	12	
7160000	-54.600041	1	3.406158858446	1.017864770034	21	11	13	
7180000	-49.394204	1	0.897025268092	1.486583283868	22	8	19	
7200000	-53.129478	1	1.000978348919	1.156597441431	16	8	14	
7220000	-63.789019	1	3.009025330791	1.268296026818	15	10	16	
7240000	-48.757105	1	2.873505283258	1.145116849000	23	7	8	
7260000	-59.541991	1	1.983696071513	1.254923201192	25	11	16	
7280000	-69.733999	1	1.971190401432	0.914580649986	10	12	11	
7300000	-56.828941	1	2.679925634231	0.946846324324	19	8	10	
7320000	-55.897215	1	2.455452064522	1.297883783713	12	8	14	
7340000	-55.959208	1	1.697072258395	1.980154164793	23	6	14	
7360000	-52.568357	1	3.271310890740	1.598189392527	20	9	16	
7380000	-68.709723	1	1.996040933113	1.031477500636	16	16	12	
7400000	-47.800365	1	1.482155105071	1.369348904355	18	7	16	
7420000	-62.127318	1	0.135651486707	1.114882621012	15	10	13	
7440000	-68.169455	1	4.542138384766	2.671801278537	15	10	13	
7460000	-57.889707	1	2.838037721644	1.311269627105	30	7	13	
7480000	-60.945768	1	1.558556463675	1.574798206452	24	8	13	
7500000	-53.476531	1	1.716206227984	1.042042707604	14	7	15	
7520000	-42.533057	1	1.792839664831	1.145777013878	26	13	11	
7540000	-47.927040	1	2.288482322022	1.329041648381	21	11	15	
7560000	-55.797803	1	1.799880831214	1.286598807407	23	12	12	
7580000	-50.032476	1	3.807706545642	1.756200893255	20	10	13	
7600000	-55.672266	1	2.268098297726	1.236736021652	21	10	12	
7620000	-61.923968	1	2.133037882689	1.126475613155	20	8	10	
7640000	-67.104584	1	1.178705143613	1.458795294894	23	8	9	
7660000	-56.246622	1	1.962677464209	2.536912558651	16	7	10	
7680000	-54.058921	1	2.706279390560	1.601863851657	18	10	13	
7700000	-60.855181	1	0.229913921456	2.507718161140	19	10	11	
7720000	-52.285575	1	1.761265599628	0.935239309173	16	14	11	
7740000	-58.174856	1	2.799142568769	3.570591088881	14	5	10	
7760000	-60.679681	1	1.750778557113	3.198068162458	20	7	10	
7780000	-53.899069	1	2.451378435723	2.155720472960	20	12	11	
7800000	-56.317129	1	3.828222768447	2.032100607355	16	12	10	
7820000	-55.968890	1	2.835418890660	1.628460474754	17	7	10	
7840000	-48.049839	1	1.224364259519	0.961098128449	23	8	11	
7860000	-54.973931	1	0.578302142235	0.659465023695	24	7	7	
7880000	-52.257069	1	2.946978136844	0.986636981038	28	9	12	
7900000	-54.928025	1	0.468495958673	1.769545039576	15	5	13	
7920000	-72.685702	1	1.834158617234	1.822457294551	20	4	15	
